Category Name,URL,Total Reivews,Is Relevant,Scanned
פחחות רכב,https://www.midrag.co.il/Content/SecFeedbacksIndex/94,4201,0,0
עיצוב פנים,https://www.midrag.co.il/Content/SecFeedbacksIndex/67,2442,0,0
חשמל ומיזוג אוויר לרכב,https://www.midrag.co.il/Content/SecFeedbacksIndex/97,6898,0,0
שערים חשמליים,https://www.midrag.co.il/Content/SecFeedbacksIndex/108,3283,0,0
רפואת שיניים,https://www.midrag.co.il/Content/SecFeedbacksIndex/77,5078,0,0
טפטים,https://www.midrag.co.il/Content/SecFeedbacksIndex/124,1449,0,0
מנעולני רכב,https://www.midrag.co.il/Content/SecFeedbacksIndex/106,3174,0,0
שמאי רכב,https://www.midrag.co.il/Content/SecFeedbacksIndex/107,841,0,0
עורך דין מקרקעין,https://www.midrag.co.il/Content/SecFeedbacksIndex/99,2220,0,0
מערכות חימום,https://www.midrag.co.il/Content/SecFeedbacksIndex/52,2291,0,0
סידור וארגון בתים,https://www.midrag.co.il/Content/SecFeedbacksIndex/86,1770,0,0
מוסכי אופנועים,https://www.midrag.co.il/Content/SecFeedbacksIndex/32,1836,0,0
זגגות רכב,https://www.midrag.co.il/Content/SecFeedbacksIndex/88,1574,0,0
סוכן ביטוח,https://www.midrag.co.il/Content/SecFeedbacksIndex/120,2635,0,0
אילוף כלבים,https://www.midrag.co.il/Content/SecFeedbacksIndex/110,2292,0,0
גירים לרכב,https://www.midrag.co.il/Content/SecFeedbacksIndex/61,209,0,0
מפקחי בנייה,https://www.midrag.co.il/Content/SecFeedbacksIndex/102,308,0,0
איפור ותסרוקות לאירועים,https://www.midrag.co.il/Content/SecFeedbacksIndex/105,1314,0,0
דיאטניות,https://www.midrag.co.il/Content/SecFeedbacksIndex/115,754,0,0
צילום,https://www.midrag.co.il/Content/SecFeedbacksIndex/96,1750,0,0
פיזיותרפיה,https://www.midrag.co.il/Content/SecFeedbacksIndex/123,1047,0,0
אטרקציות לאירועים,https://www.midrag.co.il/Content/SecFeedbacksIndex/104,997,0,0
קונסטרוקטורים,https://www.midrag.co.il/Content/SecFeedbacksIndex/101,2912,0,0
תיקון אופניים חשמליות,https://www.midrag.co.il/Content/SecFeedbacksIndex/76,362,0,0
הפעלות לימי הולדת,https://www.midrag.co.il/Content/SecFeedbacksIndex/83,675,0,0
וטרינרים,https://www.midrag.co.il/Content/SecFeedbacksIndex/84,404,0,0
אופטומטריסטים,https://www.midrag.co.il/Content/SecFeedbacksIndex/112,1124,0,0
קייטרינג,https://www.midrag.co.il/Content/SecFeedbacksIndex/31,1220,0,0
קוסמטיקאיות,https://www.midrag.co.il/Content/SecFeedbacksIndex/13,2158,0,0
קבלני שלד,https://www.midrag.co.il/Content/SecFeedbacksIndex/100,66,0,0
